case,dataset,fault,status,truth,stage,arm,answer,correct,abstained,confidence,rank_of_truth,reason_for_answer,reason_for_truth,role_of_truth,retention_kept,retention_missed,retention_score,prompt_tokens,eval_tokens,wall_s,gpu_free_before_MB,parse_error,model,thinking,num_ctx
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,direct,direct:qwen2.5-coder:7b,front-end,False,False,high,,"The front-end service shows a significant increase in error rate and a high volume of error logs, indicating that it is likely the origin of the fault.",,,,carts WARN 'POST not supported'; carts goes quiet (restart); carts error-seconds rise,0/3,2819,199,14.29,18118,,qwen2.5-coder:7b,False,4608
re3ss_carts_f3_1,RE3-SS,f3,clear,carts,direct,direct:qwen2.5-coder:7b,carts,True,False,high,1,"The carts service shows a significant increase in error rate and a high number of new log entries, indicating that it is the origin of the fault.","The carts service shows a significant increase in error rate and a high number of new log entries, indicating that it is the origin of the fault.",,carts error-rate rise (carts_error); carts new log pattern (WARN o.s.web.servlet.PageNotFound: Reque),carts log volume quiet (carts log volume),2/3,2758,204,3.66,13187,,qwen2.5-coder:7b,False,4608
re3ss_orders_f1_1,RE3-SS,f1,clear,orders,direct,direct:qwen2.5-coder:7b,orders,True,False,high,1,"The orders service shows multiple symptoms including increased error rates, latency, and disk I/O, indicating a significant issue. The presence of new log patterns related to JSON mapping exceptions and conflicting setter definitions further supports this as the origin of the fault.","The orders service shows multiple symptoms including increased error rates, latency, and disk I/O, indicating a significant issue. The presence of new log patterns related to JSON mapping exceptions and conflicting setter definitions further supports this as the origin of the fault.",,orders presence change (orders_diskio); orders error-rate rise (orders_error); orders new log pattern (Caused by: java.lang.IllegalArgumentExce),,3/3,3055,224,3.87,13195,,qwen2.5-coder:7b,False,4608
re3ss_orders_f3_1,RE3-SS,f3,clear,orders,direct,direct:qwen2.5-coder:7b,orders,True,False,high,1,"The orders service shows a significant increase in error rate, latency, and socket errors, indicating it is the origin of the fault.","The orders service shows a significant increase in error rate, latency, and socket errors, indicating it is the origin of the fault.",,orders INFO 'payment response: null'; orders error-seconds rise,front-end 'Not Acceptable' orders,2/3,2786,195,3.46,13196,,qwen2.5-coder:7b,False,4608
re3ss_front-end_f1_1,RE3-SS,f1,clear,front-end,direct,direct:qwen2.5-coder:7b,front-end,True,False,high,1,"The front-end service experienced a significant increase in error rate and a step change in error seconds, indicating that it is the origin of the fault.","The front-end service experienced a significant increase in error rate and a step change in error seconds, indicating that it is the origin of the fault.",,"front-end error-rate rise (front-end_error); front-end new log pattern (Order response: {""statusCode"":status406,); front-end log rate change (POST /cart status500 <n> ms - <n>)",,3/3,1919,256,8.0,13196,,qwen2.5-coder:7b,False,3584
re2ss_user_loss_1,RE2-SS,loss,clear,user,direct,direct:qwen2.5-coder:7b,user,True,False,high,1,"The user service showed a significant increase in error rate and latency, with a new error pattern indicating an internal server error. This suggests that the fault originated in the user service.","The user service showed a significant increase in error rate and latency, with a new error pattern indicating an internal server error. This suggests that the fault originated in the user service.",,user latency goes quiet; user error metric appears,user log volume quiet,2/3,5769,204,8.53,13398,,qwen2.5-coder:7b,False,7680
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,direct,direct:qwen2.5-coder:7b,adservice,True,False,high,1,"The adservice experienced a step change in CPU, memory, and latency, indicating a significant issue that likely originated the fault.","The adservice experienced a step change in CPU, memory, and latency, indicating a significant issue that likely originated the fault.",,adservice metric shift (adservice_mem),,1/1,663,144,5.92,13020,,qwen2.5-coder:7b,False,2048
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,direct,direct:qwen2.5-coder:7b,recommendationservice,False,False,high,,"The recommendationservice shows a significant increase in log volume and new log patterns after t=0, indicating a potential fault origin.",,,,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),0/2,8013,477,12.86,13482,,qwen2.5-coder:7b,False,10240
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,direct,direct:qwen2.5-coder:7b,ts-order-service,True,False,high,1,"The ts-order-service showed a significant increase in CPU and latency metrics, indicating a potential origin of the fault.","The ts-order-service showed a significant increase in CPU and latency metrics, indicating a potential origin of the fault.",,ts-order-service metric shift (ts-order-service_cpu),,1/1,1485,224,7.45,12876,,qwen2.5-coder:7b,False,3072
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,direct,direct:qwen2.5-coder:7b,ts-order-service,True,False,high,1,"The `ts-order-service` shows a significant increase in latency and error rate, which is a strong indicator of a fault origin. Additionally, it has new log patterns indicating increased activity and error messages.","The `ts-order-service` shows a significant increase in latency and error rate, which is a strong indicator of a fault origin. Additionally, it has new log patterns indicating increased activity and error messages.",,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),ts-order-service log volume quiet (ts-order-service log volume),2/3,7268,308,10.57,13615,,qwen2.5-coder:7b,False,9728
